Order_ID,Agent_Age,Agent_Rating,Order_Date,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_Hour,Pickup_Hour,Order_DayOfWeek
segh259958026,25,4.0,2022-03-26,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry,6.106736943461254,12,12,5
owvs520891091,29,4.5,2022-03-27,Sunny,Medium ,van,Metropolitian ,75,Outdoors,17.04198395713032,18,18,6
edrh271340988,27,5.0,2022-04-05,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics,4.4650683810240395,20,20,1
qvfd540651807,35,4.3,2022-03-12,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics,13.66073757837138,23,23,5
gzfn634029300,32,4.0,2022-03-16,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics,13.94563444308926,21,21,2
xjps180812498,23,4.8,2022-04-02,Windy,Low ,van,Urban ,60,Jewelry,16.82479191121949,23,23,5
ahpg083217029,31,4.8,2022-04-01,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry,4.664630782215899,22,22,4
itii428784576,36,4.1,2022-03-05,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics,7.589769422472331,22,22,5
asis944862845,26,4.3,2022-02-11,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry,7.705941974795929,23,23,4
xzkg140273315,38,4.9,2022-02-11,Cloudy,High ,scooter ,Urban ,125,Shoes,6.164143763345328,13,13,4
zotl583816092,32,3.5,2022-03-08,Stormy,Jam ,scooter ,Urban ,35,Grocery,17.259376716936664,21,21,1
agoo012263585,32,4.6,2022-04-02,Cloudy,Low ,scooter ,Metropolitian ,150,Sports,19.8806889061088,22,22,5
ezif478391605,33,4.9,2022-03-08,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry,10.706184356730288,18,19,1
tixw400453550,20,4.7,2022-04-03,Windy,High ,scooter ,Urban ,50,Toys,6.117369061558013,14,14,6
mrfx777445506,20,4.8,2022-03-30,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen,1.51798712661804,11,11,2
czjt755903822,35,5.0,2022-04-01,Sunny,Low ,scooter ,Urban ,55,Clothing,3.06801652533814,9,9,4
zqtj827550147,26,4.9,2022-03-28,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen,3.0990100939446292,8,8,0
luka250567007,22,4.8,2022-03-18,Fog,Low ,motorcycle ,Metropolitian ,140,Books,10.846013590626095,23,23,4
zkat983341391,35,4.3,2022-03-14,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,10.844094035055107,17,17,0
ydhu273019158,37,4.7,2022-04-04,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing,13.661199383826538,19,19,0
rpuq263118672,28,4.6,2022-03-08,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics,16.79799879130621,19,19,1
nvck471535045,37,4.9,2022-02-13,Fog,Low ,scooter ,Urban ,16,Grocery,3.0227804656534882,10,11,6
rxgx102974679,23,4.9,2022-03-24,Sunny,Jam ,van,Metropolitian ,55,Apparel,9.1598473686937,21,21,3
ikas794013321,27,4.9,2022-03-19,Windy,Medium ,scooter ,Metropolitian ,125,Snacks,9.296712100181105,19,19,5
dsyl658069912,37,4.8,2022-03-09,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry,6.196805343667927,16,16,2
wzoc344425774,33,5.0,2022-03-19,Sunny,High ,scooter ,Metropolitian ,90,Shoes,1.5179748068733323,11,11,5
dwnh519656346,31,4.9,2022-04-03,Fog,Medium ,motorcycle ,Metropolitian ,80,Books,6.028674005255561,15,15,6
yakw330215137,31,4.8,2022-03-25,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics,17.044988256333504,22,22,4
dcdm719150402,25,5.0,2022-02-13,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home,4.707104052532131,22,22,6
fris321432357,28,4.8,2022-04-04,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen,12.43888855192116,20,20,0
mxuw713526914,31,4.7,2022-03-26,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing,9.107220024938373,22,23,5
carl449634661,24,4.7,2022-03-10,Sunny,Medium ,motorcycle ,Urban ,95,Snacks,13.994592406584347,17,18,3
msnw786727644,39,4.6,2022-02-14,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry,13.377332859549806,22,23,0
bbow373480117,39,4.2,2022-03-02,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel,12.552275755914394,20,20,2
vizd072469706,32,4.5,2022-03-26,Windy,Low ,scooter ,Other,100,Shoes,1.4881912567305338,9,9,5
etss702593505,36,4.7,2022-03-13,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports,9.414207472710387,20,20,6
rxxx129114996,25,4.8,2022-03-29,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics,11.902753837483976,22,22,1
bull762076829,33,4.9,2022-03-30,Sunny,Jam ,scooter ,Metropolitian ,110,Books,4.654256824131882,21,22,2
fpkv432118410,30,4.4,2022-03-12,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes,10.624594799022988,22,22,5
udpq945815554,33,5.0,2022-03-31,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry,16.790293751513897,23,23,3
qeqp930384577,36,4.9,2022-03-17,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies,6.118069582492733,15,15,3
cwvq091479872,21,4.8,2022-02-15,Sandstorms,Low ,van,Metropolitian ,70,Shoes,2.992439854305071,10,10,1
ivtf765857546,39,4.9,2022-02-15,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare,7.335684979628153,20,21,1
emlt327861941,23,4.8,2022-03-07,Stormy,Low ,scooter ,Metropolitian ,15,Grocery,3.1380694073889375,10,10,0
rufz727804632,35,4.8,2022-03-28,Fog,Medium ,scooter ,Urban ,80,Apparel,6.276138627413788,15,16,0
gkrb550339468,39,4.6,2022-03-16,Cloudy,Jam ,scooter ,Metropolitian ,180,Home,13.944598794232533,20,20,2
tsec016509855,22,4.7,2022-03-17,Sunny,High ,scooter ,Urban ,90,Sports,6.071959804867507,12,12,3
xczs106918282,32,4.6,2022-03-15,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors,6.071422120848535,15,15,1
lgee738117860,24,4.8,2022-03-25,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel,12.552275755914394,22,22,4
nxfs257449148,29,4.7,2022-03-09,Fog,Low ,motorcycle ,Metropolitian ,85,Books,3.1380694073889375,10,10,2
wycd588946822,26,4.7,2022-03-05,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes,9.204061108012812,23,0,5
bhdi726355812,20,4.5,2022-02-11,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports,7.845173108613388,21,21,4
wnbv620439671,35,4.1,2022-03-12,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies,13.942135995521298,20,20,5
jvco758418006,39,4.6,2022-03-29,Fog,Jam ,scooter ,Metropolitian ,220,Electronics,13.945658037651098,20,21,1
zkks967394571,34,4.7,2022-03-19,Windy,High ,van,Metropolitian ,140,Snacks,6.049848888721861,12,12,5
oiyh656906407,27,4.7,2022-03-10,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel,17.04433026158702,21,21,3
dfit633531471,30,4.8,2022-02-16,Windy,Low ,motorcycle ,Metropolitian ,125,Sports,17.259376716936664,23,23,2
qhxw976953297,25,4.4,2022-03-27,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry,17.039320664078645,18,18,6
mryb985330207,25,4.7,2022-03-27,Stormy,Medium ,motorcycle ,Urban ,100,Electronics,16.790293751513897,18,18,6
jzam829230168,30,5.0,2022-03-24,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen,2.976038261804114,11,11,3
xnod694467359,24,4.6,2022-03-09,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home,9.204543446314432,20,20,2
hcno407153953,39,4.8,2022-03-03,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home,7.648215327844156,21,22,3
gyjc869072111,25,4.8,2022-02-15,Windy,High ,scooter ,Urban ,95,Snacks,6.164026189217134,12,12,1
wkqq813752515,37,4.6,2022-02-18,Fog,Low ,motorcycle ,Urban ,210,Kitchen,12.189899417672075,23,23,4
vdfj488526028,24,5.0,2022-03-01,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics,1.5496181081271545,10,10,1
pngq326709686,25,4.2,2022-03-23,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,16.872927418719993,21,21,2
caja224507886,32,4.6,2022-04-01,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors,1.507218847377163,10,10,4
hnme204254454,34,4.7,2022-02-16,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing,6019.211230800505,23,23,2
uehx759760979,38,4.9,2022-03-11,Cloudy,Low ,scooter ,Urban ,75,Books,3.020706639820848,8,8,4
sdod930462581,36,4.8,2022-03-14,Sunny,Medium ,van,Metropolitian ,75,Home,13.391515800864783,17,17,0
visy471360404,25,5.0,2022-03-18,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics,16.695945260595646,20,20,4
wddq796276216,29,5.0,2022-04-01,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors,7.756832982430433,22,22,4
pqya338067587,36,4.7,2022-04-04,Sandstorms,Low ,van,Metropolitian ,145,Clothing,13.750484667228939,23,23,0
last796029882,33,4.7,2022-03-11,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks,7.774259486970199,23,23,4
mzyt873581742,36,4.4,2022-03-13,Cloudy,High ,scooter ,Metropolitian ,195,Skincare,6.2054267911859675,12,12,6
kbhb286226770,21,4.8,2022-03-04,Windy,Low ,motorcycle ,Metropolitian ,95,Sports,16.824024800777703,23,23,4
okvp821614347,25,4.8,2022-03-26,Cloudy,Low ,scooter ,Urban ,19,Grocery,4.601882860108752,23,0,5
oska955853002,23,4.8,2022-03-16,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics,19.846613904419858,22,23,2
rgwl479077727,25,4.6,2022-03-01,Stormy,Low ,motorcycle ,Urban ,75,Books,1.55490238236473,10,10,1
tmzv371880726,24,4.3,2022-03-15,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel,3.020916215301368,8,9,1
ofxt601212694,27,4.6,2022-03-04,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel,13.94442758388673,21,21,4
lbui872023073,23,4.8,2022-03-18,Cloudy,Low ,scooter ,Urban ,110,Jewelry,16.80256330471995,22,22,4
ixfk439251990,21,4.3,2022-03-23,Fog,Jam ,scooter ,Metropolitian ,210,Books,20.16747676677057,20,20,2
njfz936670348,27,4.7,2022-03-15,Sandstorms,Low ,scooter ,Urban ,60,Sports,3.035902790349682,10,11,1
drir663128253,32,4.2,2022-03-08,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare,20.212460530271784,20,20,1
drdr957134932,25,4.6,2022-03-10,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors,16.6952795873628,23,23,3
qrzj427928057,39,4.7,2022-02-11,Cloudy,Low ,scooter ,Metropolitian ,75,Books,2.980982302644137,10,10,4
hkit681446136,27,4.6,2022-03-14,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes,12.142518774381282,23,23,0
imnm972342448,39,3.8,2022-03-16,Windy,Jam ,motorcycle ,Metropolitian ,185,Books,16.79399979607481,19,20,2
wnne890905509,31,4.8,2022-03-01,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports,7.747259356563763,22,22,1
kbdc711046313,31,4.8,2022-03-01,Sunny,Low ,van,Metropolitian ,65,Kitchen,9.043027721349308,23,23,1
alem833315854,20,4.8,2022-03-30,Cloudy,Low ,motorcycle ,Other,80,Sports,1.5514770796415485,9,9,2
khjm619520065,36,4.9,2022-03-02,Cloudy,Medium ,motorcycle ,Urban ,210,Cosmetics,12.056953151950662,18,18,2
oiay843077855,20,4.9,2022-03-20,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Toys,13.561204009757525,22,22,6
ohhc448549441,24,4.6,2022-04-03,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Jewelry,4.464417671579878,20,21,6
knul324217390,39,4.2,2022-03-29,Fog,Medium ,scooter ,Metropolitian ,195,Clothing,16.610672955997153,18,18,1
buux572471968,37,4.8,2022-03-17,Sunny,High ,scooter ,Metropolitian ,90,Shoes,6.219419664894865,14,15,3
ieue797662723,32,4.9,2022-03-17,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,Books,6.196805343667927,16,17,3
eztk468187811,22,4.5,2022-02-15,Sandstorms,Low ,scooter ,Metropolitian ,90,Skincare,7.4519201744257,22,22,1
zzid436960558,23,4.9,2022-03-18,Windy,Low ,scooter ,Metropolitian ,90,Clothing,20.212460530271784,0,0,4
kllk327072475,33,4.7,2022-03-08,Fog,Jam ,scooter ,Metropolitian ,245,Apparel,16.577488524535227,21,21,1
ubwl989345056,27,4.6,2022-03-31,Sunny,Low ,motorcycle ,Metropolitian ,105,Pet Supplies,12.396712257294284,23,23,3
iimu721647260,34,4.7,2022-03-01,Sunny,High ,scooter ,Metropolitian ,115,Toys,6.108440050157439,14,14,1
tfxz025621580,26,5.0,2022-04-03,Fog,Low ,scooter ,Urban ,55,Sports,1.5180601842214017,10,10,6
kgjb145446786,31,4.6,2022-03-24,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Snacks,9.0744717731442,21,21,3
xrxy085440961,32,4.9,2022-03-07,Fog,Low ,motorcycle ,Metropolitian ,90,Books,3.059241752280784,8,8,0
pnzt689957903,27,4.7,2022-03-09,Cloudy,Low ,motorcycle ,Metropolitian ,70,Shoes,3.020731790895242,9,9,2
qrng205617369,21,4.9,2022-03-12,Windy,Medium ,motorcycle ,Metropolitian ,180,Pet Supplies,13.945658037651098,17,18,5
gycd207308146,28,4.8,2022-03-24,Fog,Low ,motorcycle ,Metropolitian ,90,Kitchen,7.747793362638613,23,23,3
wqfy256790455,24,4.9,2022-03-30,Fog,Medium ,scooter ,Urban ,85,Toys,6.276138627413788,16,16,2
vgjr167867003,33,4.4,2022-03-05,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Electronics,1.534129114265342,8,8,5
jqco336937571,20,4.6,2022-03-18,Fog,Jam ,motorcycle ,Metropolitian ,220,Home,13.945629461520332,20,20,4
iwkp065421476,31,4.3,2022-03-13,Windy,Low ,motorcycle ,Metropolitian ,100,Toys,9.329319541894728,23,23,6
nwvu459529234,36,5.0,2022-03-31,Fog,Jam ,motorcycle ,Metropolitian ,175,Shoes,10.586720360323753,19,20,3
jjcl090851660,31,4.2,2022-03-23,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery,17.042634005428827,21,21,2
bpbi053158546,39,4.1,2022-03-24,Stormy,Jam ,scooter ,Metropolitian ,170,Electronics,9.204512751051547,21,21,3
ksec432319879,29,4.6,2022-03-12,Sunny,Jam ,van,Metropolitian ,85,Outdoors,12.142670416282547,19,19,5
rszv454658332,29,4.6,2022-03-03,Sandstorms,High ,scooter ,Urban ,115,Apparel,6.071413761024368,14,15,3
cdyc438548517,37,4.9,2022-03-09,Fog,Medium ,motorcycle ,Metropolitian ,135,Books,4.6646029783419385,18,18,2
xoka811702118,33,4.7,2022-03-17,Cloudy,High ,motorcycle ,Urban ,130,Skincare,6.276138627413788,12,12,3
nyum131271823,31,3.9,2022-03-18,Cloudy,Low ,scooter ,Metropolitian ,175,Pet Supplies,10.69100092566136,23,23,4
iwoy649851528,37,4.6,2022-03-19,Windy,High ,motorcycle ,Urban ,205,Outdoors,6.276138627413788,12,12,5
lhus187289759,26,4.4,2022-03-07,Sandstorms,Low ,motorcycle ,Other,115,Toys,9.296531667508525,23,23,0
szbb646301545,24,4.6,2022-03-04,Stormy,Medium ,motorcycle ,Metropolitian ,150,Clothing,17.10252275797518,17,18,4
bwgn919229310,23,4.8,2022-04-03,Windy,Low ,scooter ,Metropolitian ,95,Pet Supplies,3.1380694073889375,10,10,6
pdxn136638766,36,4.9,2022-03-11,Windy,Low ,scooter ,Metropolitian ,135,Electronics,1.5690347154047224,9,9,4
zzsx562940707,39,4.8,2022-04-01,Cloudy,High ,motorcycle ,Metropolitian ,140,Cosmetics,6.205591081602371,12,12,4
gyvm380029078,20,4.7,2022-03-20,Sandstorms,Medium ,motorcycle ,Metropolitian ,120,Toys,12.438452034187614,17,17,6
umwc109456087,20,5.0,2022-03-31,Cloudy,Jam ,motorcycle ,Urban ,180,Sports,20.166286848244525,19,19,3
dsbe906886027,29,4.3,2022-02-13,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Cosmetics,9.067759514408273,23,23,6
xnzb532907287,36,4.8,2022-03-29,Fog,Medium ,motorcycle ,Urban ,155,Snacks,17.103104604488404,18,18,1
ltrp525870768,36,4.0,2022-03-16,Sunny,Jam ,motorcycle ,Metropolitian ,220,Skincare,13.611105169020725,20,20,2
rbzk606295253,22,4.8,2022-03-14,Windy,Low ,scooter ,Metropolitian ,75,Cosmetics,12.056968418188383,22,22,0
ltoi660207512,38,4.4,2022-03-31,Windy,Medium ,motorcycle ,Metropolitian ,165,Toys,10.704957546119868,17,17,3
pkhq469939766,39,4.9,2022-03-17,Fog,Jam ,motorcycle ,Metropolitian ,150,Cosmetics,7.5891604266055,19,20,3
jgbc287273591,24,4.9,2022-03-28,Stormy,Medium ,scooter ,Metropolitian ,110,Outdoors,7.551948584727422,18,18,0
xzzw562394658,30,4.1,2022-04-04,Fog,Low ,motorcycle ,Metropolitian ,215,Sports,10.983241696284244,23,0,0
gjwc226881646,35,4.8,2022-03-04,Fog,Medium ,motorcycle ,Metropolitian ,240,Jewelry,13.804873199406153,17,17,4
lrbb564302256,33,4.5,2022-03-04,Stormy,Low ,van,Metropolitian ,95,Shoes,13.941657178556436,23,0,4
fkyd365052251,39,4.7,2022-02-14,Windy,Medium ,motorcycle ,Urban ,105,Cosmetics,10.900635211617388,18,18,0
wciq107093545,31,4.3,2022-03-25,Windy,Jam ,motorcycle ,Metropolitian ,220,Outdoors,12.099040609550999,21,21,4
edxx482704762,37,4.5,2022-03-17,Windy,Low ,scooter ,Metropolitian ,130,Books,1.5495096221395899,8,8,3
jxsj508533395,37,4.7,2022-04-01,Windy,Low ,scooter ,Metropolitian ,26,Grocery,4.654256824131882,22,22,4
xlta607070306,33,5.0,2022-03-19,Windy,High ,motorcycle ,Metropolitian ,155,Sports,1.5269331229160865,11,11,5
lubd358643567,24,4.6,2022-03-07,Stormy,Low ,scooter ,Urban ,19,Grocery,9.414207472710387,23,23,0
ycwb227184501,33,4.5,2022-03-02,Sunny,Jam ,scooter ,Metropolitian ,90,Kitchen,11.902924672837507,19,19,2
mikp615052003,39,4.7,2022-02-16,Fog,Medium ,motorcycle ,Metropolitian ,190,Electronics,10.472797742862058,18,19,2
djrw974238657,37,4.6,2022-03-29,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Outdoors,13.563852221699795,18,18,1
rxki994339301,25,4.9,2022-03-07,Sandstorms,Low ,scooter ,Metropolitian ,85,Jewelry,7.6696078159334125,22,22,0
wfjy432968933,28,4.8,2022-03-03,Fog,Medium ,scooter ,Urban ,55,Books,9.177365744557306,19,19,3
opdl820466364,38,4.7,2022-03-30,Windy,High ,motorcycle ,Metropolitian ,155,Cosmetics,6.205474967025106,13,13,2
wbpn330130607,31,4.6,2022-03-19,Windy,Medium ,motorcycle ,Metropolitian ,125,Skincare,9.308258482124039,17,18,5
jtsd466670552,25,4.8,2022-03-15,Cloudy,Jam ,motorcycle ,Metropolitian ,110,Jewelry,9.164099415262326,19,20,1
enww399699472,35,4.9,2022-03-02,Fog,Jam ,motorcycle ,Metropolitian ,215,Skincare,10.858950700039365,21,21,2
rvns240114667,39,4.7,2022-03-31,Fog,Jam ,motorcycle ,Metropolitian ,210,Home,10.550295445173377,19,19,3
fvko144254933,38,3.9,2022-03-06,Stormy,Jam ,motorcycle ,Metropolitian ,210,Kitchen,12.082423061297098,19,19,6
jocn049365284,35,4.7,2022-03-21,Fog,Jam ,motorcycle ,Metropolitian ,170,Snacks,4.647989333607506,21,21,0
atgc248887447,29,4.7,2022-03-01,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Sports,2.977717993714077,9,10,1
jexa898688264,27,4.6,2022-03-24,Stormy,Jam ,scooter ,Metropolitian ,125,Pet Supplies,4.5541509794301644,20,20,3
cmvs014428179,38,4.3,2022-04-04,Sandstorms,Jam ,motorcycle ,Semi-Urban ,270,Clothing,13.962004343954739,21,21,0
ntme294239634,36,4.9,2022-03-02,Windy,Low ,motorcycle ,Metropolitian ,105,Electronics,10.625702124383546,23,23,2
tryr235168039,26,4.0,2022-04-01,Cloudy,High ,motorcycle ,Metropolitian ,170,Snacks,6.136519522327368,15,15,4
cpya420089193,26,4.1,2022-02-12,Fog,Jam ,motorcycle ,Metropolitian ,180,Pet Supplies,13.41246037752413,19,19,5
opvd660426426,36,4.9,2022-04-05,Sunny,Medium ,motorcycle ,Metropolitian ,85,Cosmetics,9.308662119355633,17,17,1
ecar963502319,21,4.7,2022-03-03,Sunny,Low ,motorcycle ,Metropolitian ,80,Electronics,1.4880598281970034,9,9,3
pbmy587069805,35,4.7,2022-04-06,Sunny,Jam ,van,Metropolitian ,135,Apparel,12.39395555693745,20,20,2
wasv461278289,20,4.5,2022-03-17,Fog,High ,motorcycle ,Metropolitian ,130,Kitchen,6.20545250887856,12,12,3
byhp076235734,23,4.6,2022-03-31,Fog,Jam ,motorcycle ,Metropolitian ,230,Home,13.764250249667594,21,21,3
ohfh963147472,37,5.0,2022-02-17,Sunny,Jam ,motorcycle ,Metropolitian ,145,Sports,9.066849655818128,19,20,3
nkmh560985800,26,4.8,2022-03-09,Sandstorms,Jam ,motorcycle ,Metropolitian ,115,Shoes,9.297076456518703,19,19,2
gvea147758996,29,5.0,2022-03-27,Sandstorms,Low ,scooter ,Urban ,55,Sports,12.142486110300185,22,22,6
cypx969023715,26,4.9,2022-03-25,Stormy,Medium ,motorcycle ,Metropolitian ,140,Apparel,16.612635818204165,17,17,4
oamt174420009,29,4.8,2022-03-11,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Electronics,9.177225998300312,19,19,4
vmgc964372188,29,4.7,2022-03-03,Sandstorms,Low ,motorcycle ,Metropolitian ,55,Snacks,3.013958870983999,10,10,3
jnge623681084,21,4.9,2022-02-15,Windy,Medium ,scooter ,Metropolitian ,130,Electronics,4.391724962431039,18,18,1
kzvx918950241,22,4.3,2022-03-07,Stormy,Low ,motorcycle ,Metropolitian ,115,Apparel,3.1028522086456105,10,10,0
rlgt572766152,31,4.0,2022-03-18,Fog,Medium ,motorcycle ,Metropolitian ,195,Kitchen,11.902753837483976,17,18,4
lvnz878892159,20,4.5,2022-04-03,Fog,Low ,motorcycle ,Other,55,Apparel,3.1098846908757523,8,9,6
zhyo265634674,30,3.9,2022-04-06,Stormy,Jam ,van,Metropolitian ,160,Apparel,12.09895659021292,19,20,2
ezxe128319748,36,4.8,2022-03-06,Fog,Medium ,motorcycle ,Metropolitian ,215,Shoes,10.846831683112223,17,18,6
kifq556800414,24,4.7,2022-03-19,Fog,Medium ,scooter ,Metropolitian ,65,Cosmetics,6.205738534229064,15,15,5
carl757119263,32,4.7,2022-03-21,Windy,Low ,van,Metropolitian ,125,Jewelry,1.5513238067891462,9,9,0
ywqd911535741,25,5.0,2022-03-19,Windy,Medium ,motorcycle ,Metropolitian ,135,Clothing,9.294705791241629,18,18,5
ppqt362000534,27,4.5,2022-03-28,Windy,Medium ,scooter ,Metropolitian ,145,Skincare,6.136227883482838,15,15,0
czis944259836,32,4.1,2022-03-29,Sandstorms,Medium ,motorcycle ,Metropolitian ,165,Skincare,10.845889966900735,18,18,1
ibwr067523869,23,4.7,2022-03-17,Fog,Medium ,motorcycle ,Urban ,19,Grocery,6.19703893141132,16,17,3
fyao616279169,39,4.4,2022-03-29,Sunny,Medium ,motorcycle ,Metropolitian ,165,Shoes,20.14112443663039,18,18,1
bfvj522482572,20,4.8,2022-03-21,Fog,Jam ,motorcycle ,Metropolitian ,140,Apparel,9.414207472710387,19,19,0
zeaw181992534,20,4.8,2022-03-04,Windy,Medium ,van,Other,75,Cosmetics,11.905861749702474,18,18,4
tkua467465647,29,4.6,2022-02-15,Stormy,Jam ,scooter ,Metropolitian ,145,Skincare,4.488577625714156,20,20,1
ljgp550489562,26,4.9,2022-03-29,Stormy,Low ,scooter ,Metropolitian ,90,Snacks,20.827572697496162,22,23,1
